Subject,Channel,RMS_Slope,RMS_R2,MDF_Slope,MDF_R2,Fatigue_Direction
sub1,Ch 1,0.045211656852483545,0.21155315898512653,-0.025171886936592818,0.022764532637885953,Consistent
sub1,Ch 2,0.05786740180735079,0.5425668145036143,-0.027553996805333703,0.026031217080667315,Consistent
sub1,Ch 3,-0.0934269599376794,0.5056156362344667,0.05890686853253698,0.058718800379157214,Opposite
sub1,Ch 4,0.007126914210725067,0.05107994448391206,-0.14319049934023195,0.326737465320551,Consistent
sub1,Ch 5,0.040643194655494985,0.3795046215714196,-0.13004722550177095,0.39635889453946976,Consistent
sub1,Ch 6,0.10280045442907515,0.4624073660464417,-0.11288283908604763,0.29565058355205753,Consistent
sub1,Ch 7,0.04505902184475444,0.18591795594170443,-0.11130634071810543,0.27968080480725094,Consistent
sub1,Ch 8,0.02077846198301495,0.050748421962412596,-0.029547190777137303,0.030880608357014262,Consistent
sub2,Ch 1,0.058156990153034424,0.4201103149129305,0.0007847767206055989,3.1523112540470225e-05,Mixed
sub2,Ch 2,0.04256252972298221,0.2009594836154375,0.0027606083755816343,0.0004410552671841874,Mixed
sub2,Ch 3,-0.05328125007154991,0.29511149105741874,-0.06801861240363911,0.09810579053873986,Mixed
sub2,Ch 4,0.07561944733107283,0.5108534494779567,-0.10059726369886796,0.19756734462155193,Consistent
sub2,Ch 5,0.13370675220103234,0.6066445227328634,-0.10667060212514758,0.28523842101811375,Consistent
sub2,Ch 6,0.12763789364027892,0.3942048625574107,-0.0685151746649073,0.146275194680069,Consistent
sub2,Ch 7,0.1017715599810464,0.28367507934801384,-0.04440238905479547,0.04972972161934303,Consistent
sub2,Ch 8,0.05426445435530743,0.2510463134051144,0.002670324328078339,0.0002312168695566744,Mixed
sub3,Ch 1,0.17835711256926126,0.7900531726538224,-0.0021459823598861043,0.0003117869800662058,Consistent
sub3,Ch 2,0.08000134366954528,0.6876867480707037,-0.015987221334814918,0.014827992658809788,Consistent
sub3,Ch 3,0.014215645169128514,0.7302757142124933,-0.016758108201958468,0.012386353407594175,Consistent
sub3,Ch 4,-0.003243110920716212,0.024858512646203125,-0.10751093825960135,0.24871856542268966,Mixed
sub3,Ch 5,0.11652561451157809,0.8696295188982434,-0.016730328495034377,0.021415176059796925,Consistent
sub3,Ch 6,0.15920187742825426,0.5824854133201247,-0.020213209250642405,0.03179012776490116,Consistent
sub3,Ch 7,0.20545326073911283,0.6830314948261603,-0.0414195430238211,0.08419528326636376,Consistent
sub3,Ch 8,0.17121268950006707,0.7924337545338648,-0.045742759913882915,0.10576619025405767,Consistent
sub4,Ch 1,0.18395998530900154,0.6405810779379841,-0.048479061045905956,0.0573126991221713,Consistent
sub4,Ch 2,0.06642735163398272,0.14586231763637117,-0.046180290297937354,0.05386043425627105,Consistent
sub4,Ch 3,0.13559660473400564,0.3313498385190135,-0.06187929717341482,0.1071327741542822,Consistent
sub4,Ch 4,0.13597567324615928,0.2848540358948072,-0.05182304326689353,0.05333474227398931,Consistent
sub4,Ch 5,0.3137049226239833,0.7584284454082194,0.08109938190152094,0.09664647796125392,Mixed
sub4,Ch 6,0.07987050769290434,0.1437196974111629,-0.02690464615598305,0.017613025196998554,Consistent
sub4,Ch 7,0.06865090645257749,0.18996121381418518,-0.054868393638447116,0.060631119111541565,Consistent
sub4,Ch 8,0.09637294070619594,0.3341537487126449,0.0057538717966525476,0.0009258284130439724,Mixed
sub5,Ch 1,0.12335830590794082,0.7445241430008176,0.0033509271477185883,0.0005887936108476477,Mixed
sub5,Ch 2,0.035799131646517844,0.3264029508469199,0.009500659768039446,0.002641664759790642,Mixed
sub5,Ch 3,0.016543713305873963,0.10161330171445525,-0.05862559899993054,0.052938680882180886,Consistent
sub5,Ch 4,0.009518788174848511,0.01740923787648355,-0.0956767831099382,0.14464927474756054,Consistent
sub5,Ch 5,0.11699199342437606,0.7993460694922278,-0.08846447669977082,0.12916984489313008,Consistent
sub5,Ch 6,0.10593764653099376,0.5255566039183976,-0.02263351621640392,0.026458449477232426,Consistent
sub5,Ch 7,0.06983310766988826,0.590845195556879,-0.035880963955830264,0.04762354137097102,Consistent
sub5,Ch 8,0.18150158828135962,0.5861909874665912,-0.02131398013750955,0.009311137767183399,Consistent
sub6,Ch 1,0.06404653668802297,0.3770838946862216,0.013990554899645806,0.014882298481619222,Mixed
sub6,Ch 2,0.05642316292585414,0.41983199876316935,-0.0019202722411278557,0.00024266786878614804,Consistent
sub6,Ch 3,-0.010488000216791632,0.03464712958406328,-0.09697201194527397,0.24936068412793091,Mixed
sub6,Ch 4,0.0532044986299887,0.7385254803095596,-0.06370581290367384,0.110735507800614,Consistent
sub6,Ch 5,0.05268462537453559,0.7174852566669556,-0.00109382596013612,6.216433970084301e-05,Consistent
sub6,Ch 6,0.13330149961566612,0.5991068673408829,-0.018411000763941945,0.010830801538240733,Consistent
sub6,Ch 7,0.17924690044437325,0.535042181072971,-0.02029654837141468,0.044332609905736405,Consistent
sub6,Ch 8,0.0833648068360786,0.4270999571235869,0.000361136190013194,1.2349242797469982e-05,Mixed
